0,0,0
0,0,0.21053
0,0,0.42105
0,0,0.63158
0,0,0.84211
0,0,1.0526
0,0,1.2632
0,0,1.4737
0,0,1.6842
0,0,1.8947
0,0,2.1053
0,0,2.3158
0,0,2.5263
0,0,2.7368
0,0,2.9474
0,0,3.1579
0,0,3.3684
0,0,3.5789
0,0,3.7895
0,0,4
0.20897,0.21053,0
0.20436,0.21053,0.21053
0.19072,0.21053,0.42105
0.16866,0.21053,0.63158
0.13915,0.21053,0.84211
0.1035,0.21053,1.0526
0.063279,0.21053,1.2632
0.020262,0.21053,1.4737
-0.02365,0.21053,1.6842
-0.066518,0.21053,1.8947
-0.10645,0.21053,2.1053
-0.14168,0.21053,2.3158
-0.17065,0.21053,2.5263
-0.19209,0.21053,2.7368
-0.20505,0.21053,2.9474
-0.20895,0.21053,3.1579
-0.20362,0.21053,3.3684
-0.1893,0.21053,3.5789
-0.16663,0.21053,3.7895
-0.13659,0.21053,4
0.40872,0.42105,0
0.3997,0.42105,0.21053
0.37302,0.42105,0.42105
0.32988,0.42105,0.63158
0.27216,0.42105,0.84211
0.20243,0.42105,1.0526
0.12376,0.42105,1.2632
0.039629,0.42105,1.4737
-0.046255,0.42105,1.6842
-0.1301,0.42105,1.8947
-0.2082,0.42105,2.1053
-0.2771,0.42105,2.3158
-0.33377,0.42105,2.5263
-0.3757,0.42105,2.7368
-0.40104,0.42105,2.9474
-0.40867,0.42105,3.1579
-0.39825,0.42105,3.3684
-0.37025,0.42105,3.5789
-0.3259,0.42105,3.7895
-0.26716,0.42105,4
0.59042,0.63158,0
0.57738,0.63158,0.21053
0.53885,0.63158,0.42105
0.47653,0.63158,0.63158
0.39316,0.63158,0.84211
0.29243,0.63158,1.0526
0.17878,0.63158,1.2632
0.057247,0.63158,1.4737
-0.066819,0.63158,1.6842
-0.18793,0.63158,1.8947
-0.30075,0.63158,2.1053
-0.40029,0.63158,2.3158
-0.48214,0.63158,2.5263
-0.54271,0.63158,2.7368
-0.57932,0.63158,2.9474
-0.59034,0.63158,3.1579
-0.5753,0.63158,3.3684
-0.53485,0.63158,3.5789
-0.47078,0.63158,3.7895
-0.38592,0.63158,4
0.74605,0.84211,0
0.72957,0.84211,0.21053
0.68089,0.84211,0.42105
0.60213,0.84211,0.63158
0.49679,0.84211,0.84211
0.36951,0.84211,1.0526
0.22591,0.84211,1.2632
0.072336,0.84211,1.4737
-0.084431,0.84211,1.6842
-0.23747,0.84211,1.8947
-0.38002,0.84211,2.1053
-0.50579,0.84211,2.3158
-0.60923,0.84211,2.5263
-0.68577,0.84211,2.7368
-0.73202,0.84211,2.9474
-0.74595,0.84211,3.1579
-0.72694,0.84211,3.3684
-0.67583,0.84211,3.5789
-0.59487,0.84211,3.7895
-0.48765,0.84211,4
0.86873,1.0526,0
0.84955,1.0526,0.21053
0.79285,1.0526,0.42105
0.70115,1.0526,0.63158
0.57848,1.0526,0.84211
0.43027,1.0526,1.0526
0.26306,1.0526,1.2632
0.084232,1.0526,1.4737
-0.098315,1.0526,1.6842
-0.27652,1.0526,1.8947
-0.44252,1.0526,2.1053
-0.58897,1.0526,2.3158
-0.70942,1.0526,2.5263
