0.020274,  -4.899
0.039335,  -4.798
0.055203,  -4.697
0.066135,  -4.596
0.070806,  -4.4949
0.068459,  -4.3939
0.059004,  -4.2929
0.043059,  -4.1919
0.021921,  -4.0909
-0.0025312,  -3.9899
-0.027995,  -3.8889
-0.051946,  -3.7879
-0.071881,  -3.6869
-0.085558,  -3.5859
-0.091238,  -3.4848
-0.087873,  -3.3838
-0.075257,  -3.2828
-0.054086,  -3.1818
-0.025949,  -3.0808
0.0067751,  -2.9798
0.041095,  -2.8788
0.073658,  -2.7778
0.10105,  -2.6768
0.1201,  -2.5758
0.12822,  -2.4747
0.12368,  -2.3737
0.10585,  -2.2727
0.07529,  -2.1717
0.033866,  -2.0707
-0.015361,  -1.9697
-0.068294,  -1.8687
-0.12007,  -1.7677
-0.1654,  -1.6667
-0.199,  -1.5657
-0.21599,  -1.4646
-0.21233,  -1.3636
-0.18519,  -1.2626
-0.13323,  -1.1616
-0.056798,  -1.0606
0.041992,  -0.9596
0.15934,  -0.85859
0.28995,  -0.75758
0.42734,  -0.65657
0.56425,  -0.55556
0.69315,  -0.45455
0.80672,  -0.35354
0.89836,  -0.25253
0.96266,  -0.15152
0.99581,  -0.050505
0.99581,  0.050505
0.96266,  0.15152
0.89836,  0.25253
0.80672,  0.35354
0.69315,  0.45455
0.56425,  0.55556
0.42734,  0.65657
0.28995,  0.75758
0.15934,  0.85859
0.041992,  0.9596
-0.056798,  1.0606
-0.13323,  1.1616
-0.18519,  1.2626
-0.21233,  1.3636
-0.21599,  1.4646
-0.199,  1.5657
-0.1654,  1.6667
-0.12007,  1.7677
-0.068294,  1.8687
-0.015361,  1.9697
0.033866,  2.0707
0.07529,  2.1717
0.10585,  2.2727
0.12368,  2.3737
0.12822,  2.4747
0.1201,  2.5758
0.10105,  2.6768
0.073658,  2.7778
0.041095,  2.8788
0.0067751,  2.9798
-0.025949,  3.0808
-0.054086,  3.1818
-0.075257,  3.2828
-0.087873,  3.3838
-0.091238,  3.4848
-0.085558,  3.5859
-0.071881,  3.6869
-0.051946,  3.7879
-0.027995,  3.8889
-0.0025312,  3.9899
0.021921,  4.0909
0.043059,  4.1919
0.059004,  4.2929
0.068459,  4.3939
0.070806,  4.4949
0.066135,  4.596
0.055203,  4.697
0.039335,  4.798
0.020274,  4.899
